Airport Code,ICAO,Place
ATB,HSAT,Atbara
ATC,MYCA,Arthur's Town
ATD,AGAT,Atoifi
ATE,80F,Antlers
ATF,SEAM,Chachoan
ATG,OPMS,Attock
ATH,LGAV,Eleftherios Venizelos International Airport
ATI,SUAG,Artigas
ATJ,FMME,Antsirabe
ATK,PATQ,Atqasuk Edward Burnell Sr. Memorial Airport
ATL,KATL,Hartsfield-Jackson Atlanta International Airport
ATM,SBHT,Altamira Airport
ATN,AYNX,Namatanai
ATO,KUNI,Ohio University
ATP,AYAI,Airstrip
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport
ATR,GQPA,Mouakchott
ATS,KATS,Artesia
ATT,,Atmautluak Airport
ATU,PAAT,Casco Cove
ATV,FTTI,Ati
ATW,KATW,Outagamie County Regional Airport
ATX,,Atbasar
ATY,KATY,Watertown Airport
ATZ,HEAT,Assiut Airport
AUA,TNCA,Reina Beatrix International Airport
AUB,,Itauba Airport
AUC,SKUC,Arauca Airport
AUD,YAGD,Augustus Downs
AUE,,Abu Rudeis
AUF,LFLA,Auxerre Branches
AUG,KAUG,Augusta Airport
AUH,OMAA,Abu Dhabi International Airport
AUI,AYND,Aua Island
AUJ,AYAT,Ambunti
AUK,PAUK,Alakanuk Airport
AUL,,Aur Island
AUM,KAUM,Austin
AUN,KAUN,Auburn
AUO,KAUO,Auburn-Opelika
AUP,AYAG,Agaun
AUQ,NTMN,Hiva Oa Airport
AUR,LFLW,Aurillac Airport
AUS,KAUS,Austin-Bergstrom International Airport
AUT,WPAT,Atauro
AUU,YAUR,Aurukun Mission
AUV,AYUM,Aumo
AUW,KAUW,Municipal
AUX,SWGN,Araguaina Airport
AUY,NVVA,Aneityum
AUZ,KARR,Municipal Airport
AVA,ZUAS,An Shun/Huang Guo Shu Airport
AVB,LIPA,Aviano
AVG,YAUV,Auvergne
AVI,MUCA,Maximo Gomez
AVK,ZMAH,Arvaikheer
AVL,KAVL,Asheville Regional Airport
AVN,LFMV,Avignon-Caumont Airport
AVO,KAVO,Municipal
AVP,KAVP,Wilkes-Barre/Scranton International Airport
AVR,LPAR,Alverca
AVU,AGGJ,Avu Avu
AVV,YMAV,Avalon Airport
AVW,KAVQ,Avra Valley
AVX,KAVX,Avalon Bay
AWA,HALA,Awassa
AWB,AYAW,Awaba Airport
AWD,NVVB,Aniwa
AWE,FOGW,Alowe
AWK,PWAK,Wake Island
AWM,KAWM,Municipal
AWN,YADS,Alton Downs
AWP,YAUS,Austral Downs Airport
AWR,,Awar
AWZ,OIAW,Ahwaz Airport
AXA,TQPF,Clayton J. Lloyd International Airport
AXB,89NY,Alexandria Bay
AXC,YAMC,Aramac
AXD,LGAL,Demokritos Airport
AXE,SSXX,Xanxere
AXF,ZBAL,Alxa Left Banner
AXG,KAXA,Algona
AXJ,RJDA,Amakusa
AXK,OYAT,Ataq
AXL,YALX,Alexandria
AXM,SKAR,El Eden Airport
AXN,KAXN,Alexandria
AXO,,Bandar Udara Pantar
AXP,MYAP,Springpoint Airport
AXR,NTGU,Arutua Airport
AXS,KAXS,Altus/Quartz Mountain Regional Airport
AXT,RJSK,Akita Airport
AXU,HAAX,Axum Airport
AXV,KAXV,Neil Armstrong
AXX,KAXX,Angel Fire
AYA,,Ayapel
AYC,,Ayacucho
AYD,,Alroy Downs
AYE,,AAF Heliport
AYG,SKYA,Yaguara
AYI,,Yari
AYJ,VEAY,Maharishi Valmiki International Airport
AYK,UAUR,Arkalyk
AYL,YANL,Anthony Lagoon
AYM,,Yas Island SPB
AYN,ZHAY,Anyang Airport
AYO,SGAY,Ayolas
AYP,SPHO,Yanamilla Airport
AYQ,YAYE,Connellan Airport
AYR,YAYR,Ayr
AYS,KAYS,Ware County
AYT,LTAI,Antalya Airport
AYU,AYAY,Aiyura
AYW,WASA,Ayawasi
AYX,SPAY,Gerardo Pérez Pinedo
AYY,,Arugam Bay SPB
AYZ,,Zahns
AZA,KIWA,Phoenix-Mesa Gateway Airport
AZB,,Amazon Bay
AZD,OIYY,Yazd Airport
AZG,MMAG,Apatzingan
AZH,VEAH,Azamgarh Airport
AZI,OMAD,Bateen
AZJ,,Zhenjiang Dalu
AZL,SWTU,Fazenda Tucunare Airport
AZN,UTFA,Andizhan Airport
AZO,KAZO,Kalamazoo Battle Creek International Airport
AZP,MMJC,Atizapan
AZR,DAUA,Adrar Airport
AZS,MDCY,Samaná El Catey International
AZT,,Zapatoca
AZZ,FNAM,Ambriz
BAA,AYBL,Bialla
BAB,KBAB,Beale AFB
BAC,,Barranca De Upia
BAD,KBAD,Barksdale AFB
BAE,LFMR,Barcelonnette
BAF,KBAF,Barnes
BAG,RPUB,Loakan
BAH,OBBI,Bahrain International Airport
BAI,MRBA,Buenos Aires
BAJ,,Bali
BAL,LTCJ,Batman Airport
BAM,KBAM,Lander County
BAN,FZVR,Basongo
BAO,,Udorn
BAP,,Baibara
BAQ,SKBQ,E Cortissoz Airport
BAR,ZJQH,Baker AAF
BAS,AGGE,Balalae
BAT,SNBA,Airport Chafei Amsei
BAU,,Bauru Airport
BAV,ZBOW,Baotou Airport
BAW,,Biawonque
BAX,UNBB,Barnaul Gherman Titov International Airport
BAY,LRBM,Baia Mare
BAZ,SWBC,Barbelos
BBA,SCBA,Teniente Vidal Airport
BBB,KBBB,Benson Municipal Airport
BBC,KBYY,Bay City
BBD,KBBD,Curtis Field
BBF,,Burlington
BBG,NGTU,Butaritari
BBH,EDBH,Barth
BBI,VEBS,Biju Patnaik International Airport
BBJ,EDRB,Bitburg Air Base
BBK,FBKE,Kasane Airport
BBL,YLLE,Ballera Airport
BBM,VDBG,Battambang
BBN,WBGZ,Bario Airport
BBO,HCMI,Berbera
BBP,EGHJ,Bembridge
BBQ,TAPH,Barbuda
BBR,TFFB,Baillif
BBS,EGLK,Blackbushe
BBT,FEFT,Berberati
BBU,LRBS,Baneasa
BBV,DIGN,Hkg
BBW,KBBW,Broken Bow
BBX,KLOM,Wings Field
BBY,FEFM,Bambari
BBZ,FLZB,Zambezi
BCA,MUBA,Baracoa
BCB,KBCB,Virginia Tech
BCC,Z48,Bear Creek
BCD,RPVB,Bacolod-Silay International Airport
BCE,KBCE,Bryce
BCF,FEGU,Bouca
BCG,SYBE,Bemichi
BCH,WPEC,Cakung International
BCI,YBAR,Barcaldine Airport
BCJ,,Baca Grande
BCK,YBWR,Bolwarra
BCL,MRBC,Barra Colorado
BCM,LRBC,Bacau Airport
BCN,LEBL,Barcelona-El Prat Airport
BCO,HABC,Jinka
BCP,AYBC,Bambu
BCQ,,Brack
BCR,SWNK,Boca Do Acre
BCS,65LA,Southern Seaplane
BCT,KBCT,Boca Raton Airport
BCU,DNBC,Bauchi
BCV,,Belmopan
BCW,,Benguera Island
BCX,UWUB,Beloreck
BCY,,Bulchi
BCZ,,Bickerton Island
BDA,TXKF,L.F. Wade International Airport
BDB,YBUD,Bundaberg Airport
BDC,SNBC,Barra Do Corda
BDD,YBAU,Badu Island
BDE,KBDE,Baudette
BDF,3IS8,Rinkenberger
BDG,KBDG,Blanding
BDH,OIBL,Bandar Lengeh
BDI,FSSB,Bird Island
BDJ,WAOO,Syamsudin Noor International Airport
BDK,DIBU,Bondoukou
BDL,KBDL,Bradley International Airport
BDM,LTBG,Bandirma
BDN,OPTH,Talhar
BDO,WICC,Husein Sastranegara Airport
BDP,VNCG,Bhadrapur Airport
BDQ,VABO,Vadodara Airport
BDR,KBDR,Igor I. Sikorsky Memorial
BDS,LIBR,Brindisi - Salento Airport
BDT,FZFD,Gbadolite
BDU,ENDU,Bardufoss Airport
BDV,FZRB,Moba
BDW,YBDF,Bedford Downs
BDX,00F,Broadus
BDY,S05,State
BDZ,AYBG,Baindoung
BEA,,Bereina
BEB,EGPL,Benbecula Airport
BEC,KBEC,Beech
BED,KBED,Hanscom Field
BEE,YBGB,Beagle Bay
BEF,MNBL,Bluefields
BEG,LYBE,Belgrad Nikola Tesla Airport
BEH,KBEH,Ross Field
BEI,HABE,Beica
BEJ,WAQT,Kalimarau Airport
BEK,VIBY,Bareli
BEL,SBBE,Val De Cans International Airport
BEM,GMMD,Beni Mellal Airport
BEN,HLLB,Benina International
BEO,YLMQ,Belmont
BEP,VOBI,Bellary
BEQ,EGXH,Honington
BER,EDDB,Berlin Brandenburg Airport
BES,LFRB,Brest Bretagne Airport
BET,PABE,Bethel Airport
BEU,YBIE,Bedourie
BEV,LLBS,Beer Sheba
BEW,FQBR,Beira Airport
BEX,EGUB,Benson RAF Station
BEY,OLBA,Beirut-Rafic Hariri International Airport
BEZ,NGBR,Beru
BFA,SGBN,Bahia Negra
BFB,,Blue Fox Bay
BFC,YBMD,Bloomfield
BFD,KBFD,Bradford Airport
BFE,EDLI,Bielefeld
BFF,KBFF,Western Nebraska Regional Airport
BFG,KU07,Bullfrog Basin
BFH,SBBI,Bacacheri
BFI,KBFI,Boeing Field International Airport
BFJ,ZUBJ,Bijie Airport
BFK,KBKF,Buffalo Municipal Airport
BFL,KBFL,Meadows Field Airport
BFM,KBFM,Mobile Downtown Airport
BFN,FABL,Bram Fischer International Airport
BFO,FVCZ,Buffalo Range
BFP,KBVI,Beaver Falls
BFQ,,Bahia Pinas
BFR,KBFR,Virgil I Grissom Municipalcipal
BFS,EGAA,Belfast International Airport
BFT,KARW,County
BFU,ZSBB,Bengbu
BFV,VTUO,Buri Ram Airport
BFW,DAOS,Sidi Belabbes
BFX,FKKU,Bafoussam
BFY,,Bengbu Tenghu Airport
BGA,SKBG,Palonegro International Airport
BGB,FOGB,Booue
BGC,LPBG,Braganca Airport
BGD,KBGD,Borger
BGE,KBGE,Decatur County
BGF,FEFF,Bangui Airport
BGG,LTCU,Bingol Airport
BGH,GQNE,Abbaye
BGI,TBPB,Grantley Adams International Airport
BGJ,BIBF,Borgarfjordur Eystri
BGK,MZBG,Big Creek
BGL,VNBL,Baglung
BGM,KBGM,Greater Binghamton Airport
BGN,UESG,Belaya Gora Airport
BGO,ENBR,Bergen Airport
BGP,,Bongo
BGQ,PAGQ,Big Lake
BGR,KBGR,Bangor International Airport
BGS,,Webb AFB
BGT,E51,Bagdad
BGU,FEFG,Bangassou
BGV,SSBG,Bento Goncalves
BGW,ORBI,Baghdad International Airport
BGX,SBBG,Airport Cmdt. Gustavo Kraemer
BGY,LIME,Orio al Serio International Airport
BGZ,LPBR,Braga
BHA,SESV,Bahia De Caraquez
BHB,KBHB,Bar Harbor Airport
BHC,,Bhurban Heliport
BHD,EGAC,George Best Belfast City Airport
BHE,NZWB,Woodbourne Airport
BHF,,Bahia Cupica
BHG,MHBL,Brus Laguna
BHH,OEBH,Bisha Airport
BHI,SAZB,Comandante Airport
BHJ,VABJ,Rudra Mata Airport
BHK,UTSB,Bukhara Airport
BHL,,Bahia Angeles
BHM,KBHM,Birmingham-Shuttlesworth International Airport
BHN,OYBN,Beihan
BHO,VABP,Raja Bhoj Airport
BHP,VNBJ,Bhojpur
BHQ,YBHI,Broken Hill Airport
BHR,VNBP,Bharatpur Airport
BHS,YBTH,Raglan Airport
BHT,,Brighton Downs
BHU,VABV,Bhavnagar Airport
BHV,OPBW,Bahawalpur Airport
BHW,OPBG,Bhagatanwala Airport
BHX,EGBB,Birmingham International Airport
BHY,ZGBH,Beihai Fucheng Airport
BIA,LFKB,Bastia Poretta Airport
BIB,HCMB,Baidoa
BIC,LFEA,Aérodrome de Belle Île
BID,KBID,Block Island
BIE,KBIE,Beatrice
BIF,KBIF,Biggs AAF
BIG,PABI,Intermediate Field
BIH,KBIH,Bishop
BII,,Enyu Airfield
BIJ,,Biliau
BIK,WABB,Mokmer Airport
BIL,KBIL,Billings Logan International Airport
BIM,MYBS,Bimini International Airport
BIN,OABN,Bamiyan
BIO,LEBB,Bilbao Airport
BIP,YBWM,Bulimba
BIQ,LFBZ,Biarritz - Anglet - Bayonne Airport
BIR,VNVT,Biratnagar Airport
BIS,KBIS,Bismarck Airport
BIT,VNBT,Baitadi
BIU,BIBD,Bildudalur
BIV,FEFR,Bria
BIW,YBIL,Billiluna
BIX,KBIX,Keesler AFB
BIY,FABE,Bisho
BIZ,,Bimin
BJA,DAAE,Bejaia Airport
BJB,OIMN,Bojnord
BJC,KBJC,Jeffco
BJD,BIBK,Bakkafjordur
BJE,,Baleela
BJF,ENBS,Batsfjord Airport
BJG,,Bolaang
BJH,VNBG,Bajhang
BJI,KBJI,Bemidji Airport
BJJ,KBJJ,Wayne County
BJK,WAPK,Benjina
BJL,GBYD,Yundum International Airport
BJM,HBBA,Bujumbura Melchior Ndadaye International Airport
BJN,,Bajone
BJO,SLBJ,Bermejo
BJP,SBBP,Braganca Paulista
BJQ,,Bahja Airport
BJR,HABD,Bahar Dar Airport
BJT,,Bentota River
BJU,VNBR,Bajura Airport
BJV,LTFE,Milas-Bodrum Airport
BJW,WATB,Bajawa Soa Airport
BJX,MMLO,Guanajuato International Airport
BJY,LYBT,Batajnica
BJZ,LEBZ,Badajoz Airport
BKA,,Bykovo
BKB,VIBK,Bikaner
BKC,PABL,Buckland Airport
BKD,KBKD,Stephens County
BKE,KBKE,Baker
BKF,5Z9,Lake Brooks SPB
BKG,KBBG,Branson
BKH,PHBK,Barking Sands PMRF
BKI,WBKK,Kota Kinabalu International Airport
BKJ,GUOK,Boke
BKK,VTBS,Suvarnabhumi Airport
BKL,KBKL,Burke Lakefront Airport
BKM,WBGQ,Bakalalan
BKN,,Balkanabat Airport
BKO,GABS,Bamako-Senou International Airport
BKP,YBAW,Barkly Downs
BKQ,YBCK,Blackall Airport
BKR,FTTK,Bokoro
BKS,WIGG,Fatmawati Soekarno Airport
BKT,KBKT,Blackstone AAF
BKU,FMSV,Betioky
BKV,,Bailing Airport
BKW,KBKW,Beckley Airport
BKX,KBKX,Brookings
BKY,FZMA,Kavumu
BKZ,HTBU,Bukoba Airport
BLA,SVBC,General Jose Antonio Anzoategui International Airport
BLB,MPPA,Panama Pacifico Airport
BLC,FKKG,Bamenda
BLD,KBVU,Boulder City
BLE,ESSD,Dala Airport
BLF,KBLF,Princeton
BLG,WBGC,Belaga
BLH,KBLH,Blythe
